base,substrate,conc_pct,L,a,b
DC21-402,white,0.5,92.5,-4.0,0.1
DC21-402,white,1.0,91.4,-6.8,-0.6
DC21-402,white,2.0,90.0,-11.7,-1.1
DC21-402,white,4.0,87.5,-18.6,-2.0
DC21-402,white,8.0,83.7,-29.2,-2.2
DC21-402,white,16.0,78.9,-41.1,-1.9
DC21-402,white,32.0,71.5,-57.1,-0.7
DC21-402,white,64.0,62.9,-71.9,1.9
DC21-402,white,80.0,59.5,-76.4,3.0
DC21-402,white,100.0,56.0,-80.1,4.3
DC21-501,black,0.5,8.5,-0.3,0.9
DC21-501,black,1.0,8.5,-0.4,0.8
DC21-501,black,2.0,8.2,-0.5,0.5
DC21-501,black,4.0,8.1,-0.8,-0.6
DC21-501,black,8.0,7.4,-1.0,-1.5
DC21-501,black,16.0,6.7,-0.9,-3.9
DC21-501,black,32.0,5.8,-0.3,-6.6
DC21-501,black,64.0,4.8,1.2,-9.4
DC21-501,black,80.0,4.3,1.9,-10.7
DC21-501,black,100.0,3.9,2.4,-11.6
DC21-501,white,0.5,91.1,-4.6,-2.7
DC21-501,white,1.0,89.2,-4.6,-5.5
DC21-501,white,2.0,86.1,-7.7,-10.6
DC21-501,white,4.0,81.6,-11.8,-17.3
DC21-501,white,8.0,75.9,-17.0,-25.3
DC21-501,white,16.0,68.1,-22.0,-35.3
DC21-501,white,32.0,58.3,-26.8,-46.3
DC21-501,white,64.0,49.0,-28.2,-54.0
DC21-501,white,80.0,45.3,-21.9,-56.0
DC21-501,white,100.0,42.0,-17.3,-57.2
DC21-502,black,0.5,8.7,-0.1,0.8
DC21-502,black,1.0,8.5,-0.1,0.8
DC21-502,black,2.0,8.5,0.0,0.3
DC21-502,black,4.0,8.0,0.2,-0.1
DC21-502,black,8.0,7.8,0.5,-1.6
DC21-502,black,16.0,6.8,1.1,-2.8
DC21-502,black,32.0,6.1,1.6,-4.9
DC21-502,black,64.0,5.2,2.0,-6.8
DC21-502,black,80.0,4.9,2.0,-7.5
DC21-502,black,100.0,4.6,2.1,-8.3
DC21-502,white,0.5,89.8,-0.2,-4.0
