Pantone,L*,a*,b*,DC21-001 Extender,DC21-101 Bright Red,DC21-102 Rubine,DC21-114 Rhodamine,DC21-201 Orange,DC21-304 Yellow,DC21-402 Green,DC21-501 Process Blue,DC21-604 Violet,DC21-802 Black
PANTONE 2070 C,36.24,57.55,-40.35,16.74,0,0,63.74,0,0,0,0.99,18.53,0
PANTONE 2071 C,75.47,15.97,-23.85,95.2,0,0,0,0,0,0,0.26,4.54,0
PANTONE 2072 C,67.15,23.18,-30.34,91.8,0,0,0,0,0,0,0,8.13,0.07
PANTONE 2073 C,66.08,20.76,-31.82,90.17,0,0,1.8,0,0,0,1,7.03,0
PANTONE 2074 C,51.97,31.69,-40.82,71.77,0,0,15.93,0,0,0,3.38,8.92,0
PANTONE 2075 C,49.62,28.8,-43.47,68.35,0,0,17.99,0,0,0,5.35,8.31,0
PANTONE 2076 C,46.22,34.02,-44.28,60.3,0,0,25.52,0,0,0,5.6,8.58,0
PANTONE 2077 C,36.89,36.64,-48.21,27.52,0,0,59.33,0,0,0,13.15,0,0
PANTONE 2078 C,67.77,14.7,-15.58,85.61,0,0,9.5,1.91,0,0,2.98,0,0
PANTONE 2079 C,56.42,18.3,-18.74,76.16,0,0,16.52,0,0,0,3.23,0,4.09
PANTONE 208 C,32.01,46.9,5.9,36.62,0,36.33,0,0,14.8,0,0,0,12.25
PANTONE 2080 C,54.1,24.41,-27.21,69.87,0,0,23.46,0,0,0,4.49,0,2.18
PANTONE 2081 C,46.42,27.32,-29.96,56,8.19,0,27.61,0,0,0,8.2,0,0
PANTONE 2082 C,40.43,29.2,-31.68,59.95,11.81,0,0,0,0,6.22,0,22.02,0
PANTONE 2083 C,50.25,40.01,-49.67,76.48,0,0,0,0,0,0,0,23.52,0
PANTONE 2084 C,38.6,49.25,-55.53,61.55,0,0,0,0,0,0,0,38.45,0
PANTONE 2085 C,84.53,11.91,-15.26,97.74,0,0,0,0,0,0,0,2.26,0
PANTONE 2086 C,62.11,19.97,-33.97,88.95,0,1.89,0,0,0,0,2.01,7.15,0
PANTONE 2087 C,58.22,27.48,-44.39,84.34,0,0,0,0,0,0,1.4,14.26,0
