Pantone,L*,a*,b*,DC21-001 Extender,DC21-101 Bright Red,DC21-102 Rubine,DC21-114 Rhodamine,DC21-201 Orange,DC21-304 Yellow,DC21-402 Green,DC21-501 Process Blue,DC21-604 Violet,DC21-802 Black
PANTONE 2239 C,73.05,-53.1,-4.7,74.54,0,0,0,0,0,25.36,0.1,0,0
PANTONE 224 C,64.82,57.81,-20.36,68.41,0,0,31.59,0,0,0,0,0,0
PANTONE 2240 C,66.28,-67.15,-2.47,52.7,0,0,0,0,0.36,46.94,0,0,0
PANTONE 2241 C,60.64,-27.35,-1.78,67.6,6.13,0,0,2.23,0,24.04,0,0,0
PANTONE 2242 C,56.64,-61.38,6.18,53.16,0,0,0,0,18.38,5.55,22.91,0,0
PANTONE 2243 C,53.46,-43.95,0.26,61.84,0,0,0,0,14.1,0,20.76,0,3.3
PANTONE 2244 C,47.3,-33.21,-0.61,52.64,0,0,0,0,0.29,34.53,0,0,12.54
PANTONE 2245 C,44.9,-70.04,10.02,16.28,0,0,0.49,0,36.46,0,46.77,0,0
PANTONE 2246 C,80.94,-18.32,3.84,93.81,0,0,0,0,2.97,0,2.68,0,0.54
PANTONE 2247 C,72.01,-30.24,8.59,84.82,0,0,0,0,7.82,0,6.41,0,0.95
PANTONE 2248 C,68.58,-30.46,9.91,75.25,0,0,0,5.26,0.77,18.72,0,0,0
PANTONE 2249 C,63.08,-34,11.88,64.85,0,0,0,7.5,1.12,26.53,0,0,0
PANTONE 225 C,52.15,76.97,-15.62,13.48,1.61,0,84.91,0,0,0,0,0,0
PANTONE 2250 C,63.18,-55.04,17.55,61.81,0,0,0,0,19.3,5.15,13.74,0,0
PANTONE 2251 C,60.44,-58.64,15.45,56.67,0,0,0,0,20.44,6.29,16.6,0,0
PANTONE 2252 C,56.53,-77.36,30.85,6.25,0,0,0,0,28.32,62.88,2.55,0,0
PANTONE 2253 C,88.01,-18.98,6.17,95.38,0,0,0,0,1.41,3.21,0,0,0
PANTONE 2254 C,84,-22.13,11.9,92.82,0,0,0,0,4.25,1.01,1.92,0,0
PANTONE 2255 C,77.73,-33.32,18.82,84.95,0,0,0,0,9.3,1.58,4.17,0,0
PANTONE 2256 C,70.27,-45.05,27.33,70.52,0,0,0,0,18.95,2.58,7.95,0,0
PANTONE 2257 C,61.06,-56.32,33.28,46.77,0,0,0,0,34.82,3.02,15.39,0,0
PANTONE 2258 C,47.29,-52.07,39.36,0,0,0,0,0,71.22,0,25.85,0,2.93
PANTONE 2259 C,41.22,-43.38,32.9,0,0,0,0,0,66.38,0,25.94,0,7.68
PANTONE 226 C,45.03,80.54,-2.87,23.88,4.77,28.41,42.94,0,0,0,0,0,0
PANTONE 2260 C,80.23,-13.76,9.98,91.14,0,0,0,3.02,0.28,5.56,0,0,0
PANTONE 2261 C,72.05,-17.95,14.45,82.16,0,0,0,6.33,0.41,11.1,0,0,0
PANTONE 2262 C,66.88,-17.35,11.6,79.33,0,0,0,6.37,0,12.56,0,0,1.74
PANTONE 2263 C,58.04,-19.03,15.71,65.33,0,0,0,11.57,0,20.42,0,0,2.68
PANTONE 2264 C,57.23,-24.55,21.51,54.96,0,0,0,15.46,1.57,28.01,0,0,0
PANTONE 2265 C,48.81,-20.62,18.88,45.96,0,0,0,18.31,0,31.38,0,0,4.35
PANTONE 2266 C,31.99,-22.36,23.26,0,0,0,0,0,39.89,32.71,0,0,27.4
PANTONE 2267 C,82.92,-32.98,24.26,85.93,0,0,0,0,7.21,6.86,0,0,0
PANTONE 2268 C,78.47,-44.28,32.88,74.77,0,0,0,0,13.13,12.1,0,0,0
PANTONE 2269 C,74.76,-38.88,35.68,73.08,0,0,0,0,19.75,2.13,5.04,0,0
PANTONE 227 C,37.35,67.23,-6.26,17.73,0,36.92,41.3,0,0,0,0,0,4.05
PANTONE 2270 C,70.34,-60.46,44.98,45.57,0,0,0,0,28.58,25.85,0,0,0
PANTONE 2271 C,64.68,-68.25,50.33,18.45,0,0,0,0,42.9,38.65,0,0,0
PANTONE 2272 C,54.33,-55.52,49.8,0.18,0,0,0,0.81,77.74,0,21.27,0,0
PANTONE 2273 C,41.54,-37.1,32.41,6.53,0,0,0,0,61.86,0,21.28,0,10.33
PANTONE 2274 C,85.74,-8.43,15.29,93.7,0,0,0.87,0,4.4,0,1.03,0,0
PANTONE 2275 C,84.34,-16.74,28.9,87.48,0,0,0.97,0,8.54,3.01,0,0,0
PANTONE 2276 C,64.71,-21.66,39.29,61.96,0,0,0,0,24.74,7.92,0,0,5.38
PANTONE 2277 C,55.14,-36.94,50.48,14.21,0,0,0,0,56.7,22.58,0,0,6.51
PANTONE 2278 C,48.19,-31.01,42.83,10.54,0,0,0,0,54.41,23.71,0,0,11.34
PANTONE 2279 C,48.8,-22.03,39.1,28.85,0,0,0,0,42.73,15.24,0,0,13.18
PANTONE 228 C,31.48,53.26,-9.23,24.56,0,29.92,33.64,0,0,0,0,0,11.88
PANTONE 2280 C,40.85,-22.11,36.09,7.19,0,0,0,0,52.9,20.83,0,0,19.08
PANTONE 2281 C,89.21,-14.11,33.25,90.97,0,0,0,0,7.96,0.74,0.33,0,0
PANTONE 2282 C,87.83,-21.3,33.24,88.71,0,0,0,0,8.59,2.7,0,0,0
PANTONE 2283 C,82.75,-34.12,50.65,73.03,0,0,0,0,20.66,6.31,0,0,0
PANTONE 2284 C,80.45,-22.1,36.36,79.59,0,0,1.45,0,13.96,5,0,0,0
PANTONE 2285 C,79.49,-40.67,58.1,61.06,0,0,0,0,29.68,9.26,0,0,0
PANTONE 2286 C,73.94,-47.01,74.35,24.38,0,0,0.12,0,61.25,14.25,0,0,0
PANTONE 2287 C,70.17,-54.25,68,19.65,0,0,0.15,0,59.39,20.81,0,0,0
PANTONE 2288 C,86.21,-20.29,45.04,83.38,0,0,0,0,14.75,1.05,0.82,0,0
PANTONE 2289 C,83.23,-16.9,40.81,81.43,0,0,1.2,0,14.33,3.04,0,0,0
PANTONE 229 C,25.67,35.36,-6.35,8.25,41.43,27.67,0,0,0,22.65,0,0,0
PANTONE 2290 C,81.33,-33.98,73.02,51.28,0,0,0,0,42.37,6.35,0,0,0
PANTONE 2291 C,79.14,-34.08,85.72,24.33,0,0,0,0.18,68.25,7.24,0,0,0
PANTONE 2292 C,74.45,-35.24,70.07,40.14,0,0,0,0,54.39,0.79,4.68,0,0
PANTONE 2293 C,72.45,-39.05,83.41,0,0,0,0,1.08,86.41,12.51,0,0,0
PANTONE 2294 C,63.73,-33.7,67.75,7.04,0,0,0,0,75.39,14.07,0,0,3.5
PANTONE 2295 C,90.57,-14,43.26,87.74,0,0,0,0,11.23,1.03,0,0,0
PANTONE 2296 C,88.43,-19.03,57.03,78.38,0,0,0,0,19.77,1.85,0,0,0
PANTONE 2297 C,84.19,-27.26,76.97,53.61,0,0,0,0,42.39,4,0,0,0
PANTONE 2298 C,82.59,-25.98,56.07,72.09,0,0,0,0,25.03,1.21,1.67,0,0
PANTONE 2299 C,78.37,-31.36,65.26,56.2,0,0,0,0,39.56,1.27,2.97,0,0
PANTONE 230 C,78,36.01,-16.54,89.18,0,0,10.82,0,0,0,0,0,0
PANTONE 2300 C,74.18,-22.07,57.5,54.08,0,0,3.02,0,35.88,7.02,0,0,0
PANTONE 2301 C,65.97,-24.59,62.62,34.25,0,0,0,0,53.3,8.27,0,0,4.18
PANTONE 2302 C,72.43,-12.62,39.43,66.33,0,0,5.13,0,22.42,6.12,0,0,0
PANTONE 2303 C,69.46,-16.96,41.72,62.11,0,0,4.2,0,29.19,0,4.5,0,0
PANTONE 2304 C,67.51,-13.63,43.73,53.02,0,0,7.12,0,31.36,8.5,0,0,0
PANTONE 2305 C,65.55,-15.16,66.54,18.59,0,0,5.11,0,71.26,0,5.04,0,0
PANTONE 2306 C,55.46,-14.66,48.49,36.07,0,0,0,0,46.58,7.02,0,0,10.33
PANTONE 2307 C,44.8,-11.76,44.92,7.29,0,0,0,0,65.89,8.74,0,0,18.08
PANTONE 2308 C,36.11,-4.14,33.13,0.82,0,0,0,53.99,0,39.78,0,5.41,0
PANTONE 2309 C,84.38,7.31,11.86,96.05,0,0,0,3.14,0,0,0.45,0.36,0
PANTONE 231 C,67.71,56.69,-21.59,72.09,0,0,27.91,0,0,0,0,0,0
PANTONE 2310 C,79.31,7.28,11.43,93.65,0,0,0,4.6,0,0,1.03,0.72,0
PANTONE 2311 C,71.41,11.34,20.1,86.31,1.99,0,0,9.47,0,0,2.23,0,0
PANTONE 2312 C,65.81,8.68,14.78,83.57,0,1.32,0,11.38,0,0,3.73,0,0
PANTONE 2313 C,64.9,15.09,28.64,81.52,0,0,0,12.06,0.93,0,0,0,5.49
PANTONE 2314 C,54.4,18.03,34.92,67.24,0,0,0,21.44,1.43,0,0,0,9.89
PANTONE 2315 C,40.23,28.95,45.56,11.75,0,8.9,0,64.96,0,14.39,0,0,0
PANTONE 2316 C,66.39,10.83,19.46,81.9,2.93,0,0,11.8,0,0,3.37,0,0
PANTONE 2317 C,60.11,14.37,27.04,73.11,0,1.41,0,20.96,0,0,4.52,0,0
PANTONE 2318 C,53.42,15.88,29.99,69.56,0,0,0,19.52,0,0,0.32,0,10.6
PANTONE 2319 C,43.61,17.13,32.37,54.22,0,0,0,27.77,0,0,0.02,0,17.99
PANTONE 232 C,57.4,73.23,-21.63,39.6,0,0,60.4,0,0,0,0,0,0
PANTONE 2320 C,34.17,16.33,28.37,38.81,0,0,0,32.67,0,0,0,1.62,26.9
PANTONE 2321 C,37.59,10.76,19.01,35.29,14.32,0,0,35.08,0,0,15.31,0,0
PANTONE 2322 C,25.03,9.66,15.69,1.84,0,0,0,60.64,0,0,21.12,16.4,0
PANTONE 2323 C,72.05,0.22,11.03,92.09,0,0,0,0.32,2.39,0,0,0,5.2
PANTONE 2324 C,67.32,2.45,15.37,86.65,0,0,0,6.03,0,2.7,0,0,4.62
PANTONE 2325 C,60.21,3.06,15.34,81.74,0,0,0,7.37,0,3.01,0,0,7.88
PANTONE 2326 C,53.04,2.89,16.48,74.33,0,0,0,9.73,0,4.27,0,0,11.67
PANTONE 2327 C,50.88,0.38,17.79,72.25,0,0,0,0,10.27,0,0,0.36,17.12
PANTONE 2328 C,44.24,3.51,18.91,59.67,0,0,0,21.83,0,0,7.3,0,11.2
PANTONE 2329 C,38.71,3.22,17.62,52.66,0,0,0,23.03,0,0,7.97,0,16.34
PANTONE 233 C,44.24,75.49,-13.23,0.55,0,13.87,84.79,0,0,0.79,0,0,0
PANTONE 2330 C,82.66,1.45,-2.11,96.76,0,0,0,1.43,0,0,0.99,0.82,0
PANTONE 2331 C,68.97,2.74,-1.1,89.12,0,0,0,5.35,0,0,3.24,2.29,0
PANTONE 2332 C,57.22,1.49,-0.1,82.9,0,0,3.66,0,0,2.98,0,0,10.46
PANTONE 2333 C,46.34,1.48,0.68,66.12,12.24,0,0,0,0,10.1,0,0,11.54
PANTONE 2334 C,43.12,3.53,0.15,60.07,0,5.63,0,19.9,0,0,14.4,0,0
PANTONE 2335 C,34.56,5.38,5.75,21.29,35.4,0,0,11.28,0,32.03,0,0,0
PANTONE 2336 C,32.04,1.36,1.13,57.54,0,0,0,0,0,4.65,0,4.04,33.77
PANTONE 2337 C,83.33,21.07,8.86,93.92,0,0,3.3,2.78,0,0,0,0,0
PANTONE 2338 C,72.98,23.44,9.91,88.1,8.24,0,0,2.26,0,1.4,0,0,0
PANTONE 2339 C,71.68,37.12,14.69,82.65,0,0,10.09,7,0,0,0,0,0.26
PANTONE 234 C,36.21,63.58,-11,0,0,20.19,73.77,0,0,0,0,0,6.04
PANTONE 2340 C,59.15,40.45,12.04,67.89,0,0,19.57,9.82,0,0,0,0,2.72
PANTONE 2341 C,54.84,31.01,11.17,65.73,24.54,0,0,4.14,0,5.59,0,0,0
PANTONE 2342 C,50.72,40.37,10.74,55.12,0,0,27.29,11.84,0,0,0,0,5.75
PANTONE 2343 C,47.8,37.19,5.65,46.13,0,0,32.18,17,0,0,4.69,0,0
PANTONE 2344 C,67.42,43.95,28.12,72.8,0,0,12.16,14.61,0,0.43,0,0,0
PANTONE 2345 C,67.54,59.81,32.33,67.69,21.5,0,0,10.81,0,0,0,0,0
PANTONE 2346 C,64.16,67.45,28.97,60.14,34.11,0,0,5.75,0,0,0,0,0
PANTONE 2347 C,49.48,75.22,67.23,0,27.25,12.37,0,60.38,0,0,0,0,0
PANTONE 2348 C,57.48,58.38,34.26,45.69,0,0,29.9,23.89,0,0,0,0,0.52
PANTONE 2349 C,48.12,59.13,59.06,19.19,0,14.23,0,64.41,0,2.17,0,0,0
PANTONE 235 C,30.12,51.36,-9.23,18.54,0,27.38,40.25,0,0,0,0,0,13.83
PANTONE 2350 C,40.35,57.15,42.58,21.84,0,22.89,0,50.31,0,0,0,0,4.96
PANTONE 2351 C,60.35,35.24,-21.25,78.47,0,0,15.72,0,0,0,0,4.06,1.75
PANTONE 2352 C,54.55,41.62,-23.03,68.35,0,0,24.51,0,0,0,0,4.86,2.28
PANTONE 2353 C,51.98,56.41,-26.32,60.98,0,5.61,28.24,0,0,0,0,5.17,0
PANTONE 2354 C,43.95,36.86,-23.22,39.22,0,0,49.52,0,0,7.57,0,0,3.69
PANTONE 2355 C,32.26,57.54,-30.98,45.52,0,31.43,0,0,0,0,0,23.05,0
PANTONE 2356 C,25.46,53.13,-25.2,24.41,0,43.62,0,0,0,0,0,29.26,2.71
PANTONE 2357 C,22.69,39.74,-9.55,18.41,0,47.4,0,19.26,0,0,14.93,0,0
PANTONE 2358 C,67.92,6.24,-7.33,92.29,0,0,0,0,0,0.71,0,2.96,4.04
PANTONE 2359 C,49.75,8.28,-9.79,74.07,0,0,11.43,0,0,0,3.68,0,10.82
PANTONE 236 C,77.84,35.42,-19.59,88.98,0,0,10.26,0,0,0,0,0.76,0
PANTONE 2360 C,51.49,5.56,-13.66,82.15,0,5.17,0,0,0,0,4.83,0,7.85
PANTONE 2361 C,47.91,5.7,-18.06,78.29,0,0,0,0,0,0,4.11,8.44,9.16
PANTONE 2362 C,45.45,5.93,-14.82,76.57,0,6.68,0,0,0,0,6.36,0,10.39
PANTONE 2363 C,40.22,6.57,-14.98,70.93,0,8.13,0,0,0,0,7.55,0,13.39
PANTONE 2364 C,39.1,9.91,-10.78,59.09,0,0,18.18,0,0,0,5.52,0,17.21
PANTONE 2365 C,81.7,26.19,-16.14,93.27,0,0,5.97,0,0,0,0,0.76,0
PANTONE 2366 C,49.48,19.93,-53.95,75.74,0,0,0,0,0,0,7.61,16.65,0
PANTONE 2367 C,37.48,24.85,-56.46,61.55,0,0,0,0,1.07,0,10.58,26.8,0
PANTONE 2368 C,36.82,29.49,-64.62,57.7,0,0,0,0,0,0,12.61,29.69,0
PANTONE 2369 C,33.26,28.75,-66.34,51.77,0,0,0,0,0,0,16.52,31.71,0
PANTONE 237 C,70.11,49.06,-24.22,78.75,0,0,21.25,0,0,0,0,0,0
PANTONE 2370 C,24.08,30.2,-60.64,33.29,0,0,0,3.07,0,0,20.45,43.19,0
PANTONE 2371 C,18.53,43.03,-64.91,13.63,3.27,0,0,0,0,0,15.69,67.41,0
PANTONE 2372 C,17.72,27.3,-51.55,12.08,0,0,0,9.35,0,0,25.31,53.26,0
PANTONE 2373 C,54.01,0.25,-20.43,61.36,3.38,0,17.09,0,0,18.17,0,0,0
PANTONE 2374 C,39.68,0.71,-23.26,27.83,8.2,0,30.35,0,0,33.62,0,0,0
PANTONE 2375 C,65.77,52.93,-28.96,71.4,0,0,25.98,0,0,0,0,2.62,0
PANTONE 2376 C,38.23,0.49,-17.7,58.97,0,0,0,0,0,14.83,0,13.49,12.71
PANTONE 2377 C,33.9,-5.34,-22.09,7.96,12.27,0,32.41,0,0,47.36,0,0,0
PANTONE 2378 C,30.43,0.83,-21.57,21.65,24.45,0,0,0,0,38.21,0,15.69,0
PANTONE 2379 C,29.03,0.53,-14.8,43.93,0,0,0,0,0,18.04,0,16.5,21.53
PANTONE 238 C,61.24,63.1,-27.44,60.45,0,0,39.55,0,0,0,0,0,0
PANTONE 2380 C,21.2,0.79,-17.13,3.67,46.28,0,0,9.11,0,0,40.94,0,0
PANTONE 2381 C,59.56,-0.88,-46.64,83.21,0,0,0,0,0,0,10.04,6.75,0
PANTONE 2382 C,53.85,-8.74,-53.45,74.36,0,0,0,0,0,0,19.04,6.6,0
PANTONE 2383 C,46.32,-7.57,-40.83,60.17,0,0,14.85,2.63,0,0,22.35,0,0
PANTONE 2384 C,37.71,-9.21,-45.96,48.82,10.13,0,0,0,0,0,33.73,7.32,0
PANTONE 2385 C,53.72,70.48,-32.84,36.67,0,0,59.43,0,0,0,0,3.9,0
PANTONE 2386 C,43.79,7.09,-57.56,67.15,0,0,0,0.15,0,0,18.21,14.49,0
PANTONE 2387 C,41.07,9.04,-63.63,59.14,0,0,0,0,0,0,23.94,16.92,0
PANTONE 2388 C,33.71,8.09,-64.43,43.28,0,0,0,0.57,0,0,36.65,19.5,0
PANTONE 2389 C,61.32,-15.7,-32.77,83.89,0,0,0,1.44,0,0,11.86,2.81,0
PANTONE 239 C,55.28,70.2,-28.08,43.34,0,0,56.66,0,0,0,0,0,0
PANTONE 2390 C,47.74,-15.59,-36.53,62.53,0,0,9.75,3.67,0,0,24.05,0,0
PANTONE 2391 C,48.63,-22.01,-31.76,67.61,0,2.91,0,4.58,0,0,24.9,0,0
PANTONE 2392 C,39.99,-15.22,-26.31,63.93,0,4.48,0,0,0,0,21.68,0,9.91
PANTONE 2393 C,53.55,-29.67,-46.41,67.74,0,0,0,0.93,0,0,29.82,1.51,0
PANTONE 2394 C,50.72,-29.28,-52.5,59.89,0,0,0,0.4,0,0,37.9,1.81,0
PANTONE 2395 C,46.52,77.41,-31.89,7.68,0,0,87.74,0,0,0,0,4.58,0
PANTONE 2396 C,55.11,-38.98,-29.4,68.8,0,0,0,2.26,2.01,0,26.93,0,0
PANTONE 2397 C,65.48,-44.51,-20.82,78.23,0,0,0,0,2.41,5.28,14.08,0,0
PANTONE 2398 C,67.02,-45.29,-12.92,78.9,0,0,0,0,3.77,5.52,11.81,0,0
PANTONE 2399 C,58.81,-67.52,-14.28,42.87,0,0,0,0,0,46.32,10.81,0,0
PANTONE 240 C,48.26,68.14,-25.44,25.88,0,0,70.28,0,0,0,0,3.84,0
PANTONE 2400 C,62.23,-54.66,-4.33,67.59,0,0,0,0,8.32,8.62,15.47,0,0
PANTONE 2401 C,61.38,-35.63,-5.12,77.39,0,0,0,0,7.02,0,13.28,0,2.31
PANTONE 2402 C,54.02,-61.92,-5.34,50.87,0,0,0,0,13.69,7.05,28.39,0,0
PANTONE 2403 C,46.2,-67.58,-10.53,22.4,0,0,0,0,14.93,17.58,45.09,0,0
PANTONE 2404 C,72.79,-10.24,9.32,90.37,0,0,0,0,4.21,0,2,0,3.42
PANTONE 2405 C,40.58,71.09,-29.52,0,0,0,92.21,0,0,0,0,7.79,0
PANTONE 2406 C,62.28,-13.44,5.76,83.72,0,0,0,0,5.36,0,4.4,0,6.52
PANTONE 2407 C,55.22,-16.2,7.31,75.42,0,0,0,0,8.64,0,6.74,0,9.2
PANTONE 2408 C,46.93,-22.82,12.46,45.26,0,7.02,0,0,31.42,0,16.3,0,0
PANTONE 2409 C,39.85,-14.27,11.99,41.13,0,0,0,29.7,4.68,0,24.49,0,0
PANTONE 241 C,41.83,64.65,-22.28,7.27,0,7.84,81.01,0,0,3.88,0,0,0
PANTONE 2410 C,36.01,-14,11.89,32.73,0,0,0,35.47,3.37,0,28.43,0,0
PANTONE 2411 C,24.27,-20.77,15.41,0,0,0,0,0,44.65,0,22.26,0,33.09
PANTONE 2412 C,76.19,-50.83,15.99,75.1,0,0,0,0,6.55,18.35,0,0,0
PANTONE 2413 C,66.32,-44.24,6.68,69.93,0,0,0,0,4.14,23.59,0,0,2.34
PANTONE 2414 C,66.29,-55.97,15.68,57.04,0,0,1.57,0,10.11,31.28,0,0,0
PANTONE 2415 C,36.07,64.89,-26.12,0,0,13.46,73.46,0,0,0,0,13.08,0
PANTONE 2416 C,62.09,-58.6,13.95,59.12,0,0,0,0,17.23,10.01,13.64,0,0
PANTONE 2417 C,56.98,-42.98,14.02,60.96,0,0,0,0,20.31,0,16.02,0,2.71
PANTONE 2418 C,45.05,-75.65,22.54,0,0,0,0,0,52.99,0,47.01,0,0
PANTONE 2419 C,44.16,-46.04,7.1,40.03,0,0,0,0,25.03,0,28.3,0,6.64
PANTONE 242 C,31.82,45.38,-13.76,0,34.89,0,55.96,0,0,0,9.15,0,0
PANTONE 2420 C,69.1,-65.61,35.25,45.73,0,0,0,0,21.66,32.61,0,0,0
PANTONE 2421 C,64.69,-60.69,69.6,0,0,0,0,0,71.86,28.14,0,0,0
PANTONE 2422 C,58.58,-62.56,46.02,19.71,0,0,0,0,54.36,11.8,14.13,0,0
PANTONE 2423 C,58.4,-74.29,52.82,0,0,0,0,0,50.74,49.26,0,0,0
PANTONE 2424 C,56.79,-53.7,60.7,0,0,0,0,0,83.92,0,16.08,0,0
PANTONE 2425 C,29.96,55.39,-20.16,37.85,0,54.01,0,0,0,2.74,5.4,0,0
PANTONE 2426 C,47.94,-68.84,43.55,0,0,0,0,0,70.11,0,29.89,0,0
PANTONE 2427 C,34.16,-37.17,27.58,0,0,0,0,0,60.24,0,26.31,0,13.45
PANTONE 2428 C,65.57,29.23,58.57,62.35,0,0,0,28.38,6.29,0,0,0,2.98
PANTONE 2429 C,52.53,38.88,53.14,40.38,0,0,9.43,44.6,0,0,0,0,5.59
PANTONE 243 C,80.74,26.42,-19.24,92.79,0,0,5.72,0,0,0,0,1.49,0
PANTONE 2430 C,71.42,17.72,26.59,86.5,0,0,0.85,9.83,0,0,0,0,2.82
PANTONE 2431 C,68.24,25.36,43.88,76.73,0,0,0,20.46,0,0,0,0,2.81
PANTONE 2432 C,66.87,29.13,38.96,73,0,0,4.27,21.26,0,0,1.47,0,0
PANTONE 2433 C,62.57,36.51,38.64,62.97,0,0,10.58,23.98,0,2.47,0,0,0
PANTONE 2434 C,63.42,41.83,32.62,65.44,0,0,13.44,19.64,0,1.48,0,0,0
PANTONE 2435 C,56.82,31.89,25.88,57.44,0,0,16.48,20.99,0,5.09,0,0,0
PANTONE 2436 C,48.72,40.67,31.86,31.68,0,0,29.32,32.69,0,6.31,0,0,0
PANTONE 2437 C,81.77,16.71,20.58,93.35,0,0,0,5.49,0.26,0,0,0.9,0
PANTONE 2438 C,72.98,23.78,22.79,84.95,0,0,4.2,9.94,0,0,0.91,0,0
PANTONE 2439 C,62.3,24.38,19.04,75.73,0,0,0,9.18,7.44,0,0,7.65,0
PANTONE 244 C,73.76,37.87,-25.18,85.87,0,0,11.83,0,0,0,0,2.3,0
PANTONE 2440 C,64.02,14.08,7.67,71.48,0,0,14.38,0,11.26,0,2.88,0,0
PANTONE 2441 C,53.34,22.68,17.14,61.48,19.03,0,0,11.11,0,8.38,0,0,0
PANTONE 2442 C,48.25,27.14,16.91,47.22,33.68,0,0,0,10.28,8.82,0,0,0
PANTONE 2443 C,37.01,36.27,32.27,26.14,0,13.8,0,52.1,0,0,7.96,0,0
PANTONE 2444 C,73.5,21.06,10.52,86.4,0,0,6.26,5.58,0,1.76,0,0,0
PANTONE 2445 C,66.39,36.2,9.9,78.71,0,0,13.19,6.67,0,0,0,0,1.43
PANTONE 2446 C,64.45,31.6,7.53,79.08,0,0,12.48,5.84,0,0,0,0,2.6
PANTONE 2447 C,54.58,28.86,5.64,70.08,0,0,16.54,6.56,0,0,0,0,6.82
PANTONE 2448 C,57.87,47.92,31.48,52.71,0,0,22.3,23.1,0,1.89,0,0,0
PANTONE 2449 C,19.63,17.9,6.4,28.18,0,13.79,0,11.52,0,0,0,0,46.51
PANTONE 245 C,66.78,48.56,-30.83,75.03,0,0,21.34,0,0,0,0,3.63,0
PANTONE 2450 C,53.68,63.37,-5.35,40.37,0,0,53.44,5.4,0,0.79,0,0,0
PANTONE 2451 C,47.27,52.26,-1.4,29.13,0,0,56.09,10.53,0,4.25,0,0,0
PANTONE 2452 C,47.73,60.44,1.06,21.05,0,0,65.93,10.63,0,2.39,0,0,0
PANTONE 2453 C,66.84,20.7,-20.93,84.04,0,0,12.41,0.93,0,0,2.62,0,0
PANTONE 2454 C,48.55,-16.14,-29.29,70,0,4.01,0,4.92,0,0,21.07,0,0
PANTONE 2455 C,73.37,-15.17,-3.54,92.41,0,0,0,0,1.67,0,3.62,0,2.3
PANTONE 2456 C,57.22,-34.28,-3.1,73.1,0,0,0,0,8.49,0,14.51,0,3.9
PANTONE 2457 C,66.64,-12.87,2.19,88.14,0,0,0,0,3.25,0,3.75,0,4.86
PANTONE 2458 C,58.71,-19.92,3.92,78.68,0,0,0,0,7.24,0,7.52,0,6.56
PANTONE 2459 C,65.01,-32.73,2.91,79.83,0,0,0,0,8.34,0,9.78,0,2.05
PANTONE 246 C,49.39,72.29,-37.21,16.71,0,0,81.34,0,0,0,1.95,0,0
PANTONE 2460 C,66.5,-22.78,-8.1,87.14,0,0,0,0,2.56,0,7.41,0,2.89
PANTONE 2461 C,55.27,-31.43,-10.21,74.33,0,0,0,0,5.26,0,15.5,0,4.91
PANTONE 2462 C,54.52,-18.86,-3.47,78.05,0,0,0,0,4.22,0,9.2,0,8.53
PANTONE 2463 C,47.06,-10.29,-2.48,75.25,0,0,0,0,1.6,0,7.11,0,16.04
PANTONE 2464 C,70.67,-33.31,28.69,74.24,0,0,0,0,18.29,0,6.46,0,1.01
PANTONE 2465 C,40.71,-35.9,25.49,19.18,0,0,0,0,47.78,0,21.49,0,11.55
PANTONE 2466 C,31.03,-14.92,-3.76,50.54,0,0,0,0,4.04,0,16.21,0,29.21
PANTONE 2467 C,63.75,12.17,23.7,69.27,13.32,0,0,0,12.33,5.08,0,0,0
PANTONE 2468 C,49.71,17.75,22.6,24.72,0,0,33.11,0,32.23,9.94,0,0,0
PANTONE 2469 C,43.87,21.94,26.13,55.55,0,0,0,26.36,0,0,0,5.94,12.15
PANTONE 247 C,45.53,70.65,-35.19,16.5,0,0,75.15,0,0,0,0,8.35,0
PANTONE 2470 C,55.36,8.33,18.15,73.93,5.84,0,0,0,9.34,0,0,0,10.89
PANTONE 2471 C,59.55,10.4,11.92,81.31,6.1,0,0,0,4.32,0,0,0,8.27
PANTONE 2472 C,30.69,13.12,18.99,30.65,0,9.4,0,0,29.9,0,0,0,30.05
PANTONE 2473 C,75.97,6.45,-3.83,94.4,0,1.57,0,2.25,0,0,1.78,0,0
PANTONE 2474 C,67.66,5.74,4.33,91.24,0,0,1.51,0.98,0,0,0,0,6.27
PANTONE 2475 C,58.66,10.81,5.59,84.42,0,3.25,0,0,3.88,0,0,0,8.45
PANTONE 2476 C,47.69,10.5,2.62,77.84,0,3.96,0,0,1.94,0,0,0,16.26
PANTONE 2477 C,39.94,10.46,5.22,64.78,0,0,7.8,2.87,0,0,0,0,24.55
PANTONE 2478 C,25.09,11.62,0.37,49.23,0,6.7,0,0,0,0,0,2.34,41.73
PANTONE 2479 C,22.95,4.5,4.3,39.56,0,0,6.12,0,0,1.93,0,0,52.39
PANTONE 248 C,40.11,63.41,-31.16,8.68,0,0,79.93,0,0,0,0,11.11,0.28
PANTONE 249 C,32.73,45.39,-20.53,13.66,0,0,66.1,0,0,0,0,9.11,11.13
PANTONE 250 C,80.88,24.44,-19.54,93.42,0,0,4.8,0,0,0,0,1.78,0
PANTONE 251 C,72.98,35.89,-28.5,86.12,0,0,10.17,0,0,0,0,3.71,0
PANTONE 252 C,58.74,55.3,-40.76,60.64,0,0,30.31,0,0,0,0,9.05,0
PANTONE 253 C,43.2,68.46,-44.12,20.16,0,0,64.42,0,0,0,0,15.42,0
